index,City,lat,lng,Number_publish
1,Berlin,13.38,52.52,1304
2,München,11.58,48.14,838
3,Freiburg,7.85,47.99,517
4,Frankfurt,8.68,50.11,443
5,Münster,7.63,51.96,412
6,Heidelberg,8.71,49.41,395
7,Tübingen,9.06,48.52,382
8,Hamburg,10.0,53.55,381
9,Mainz,8.27,50.0,352
10,Köln,6.96,50.94,343
11,Bonn,7.1,50.73,339
12,Düsseldorf,6.77,51.23,296
13,Marburg,8.77,50.82,296
14,Bochum,7.22,51.48,294
15,Göttingen,9.94,51.53,289
16,Leipzig,12.38,51.33,220
17,Würzburg,9.93,49.79,211
18,Gießen,8.67,50.58,187
19,Aachen,6.08,50.78,163
20,Regensburg,12.08,49.02,152
21,Saarbrücken,7.0,49.23,151
22,Bamberg,10.89,49.89,147
23,Jena,11.59,50.93,144
24,Augsburg,10.9,48.37,143
25,Kiel,10.14,54.32,142
26,Bielefeld,8.53,52.02,135
27,Hannover,9.74,52.37,131
28,Stuttgart,9.18,48.78,127
29,Mannheim,8.47,49.49,127
30,Siegen,8.02,50.88,126
31,Halle,11.97,51.48,116
32,Konstanz,9.18,47.66,112
33,Erlangen,11.0,49.6,111
34,Wuppertal,7.18,51.27,101
35,Trier,6.64,49.76,99
36,Paderborn,8.77,51.72,97
37,Bremen,8.59,53.35,97
38,Kassel,9.5,51.32,94
39,Osnabrück,8.04,52.28,94
40,Potsdam,13.07,52.4,84
41,Essen,7.01,51.45,69
42,Duisburg,6.76,51.43,67
43,Karlsruhe,8.4,49.02,62
44,Nürnberg,11.08,49.45,61
45,Rostock,12.13,54.08,60
46,Bayreuth,11.58,49.95,57
47,Oldenburg,8.21,53.14,53
48,Erfurt,11.03,50.98,52
49,Dresden,13.74,51.05,51
50,Dortmund,7.47,51.51,47
51,Greifswald,13.38,54.08,44
52,Passau,13.47,48.57,42
53,Braunschweig,10.52,52.27,39
54,Eichstätt,11.18,48.89,35
55,Hildesheim,9.95,52.15,34
56,Magdeburg,11.63,52.13,33
57,Darmstadt,8.65,49.87,32
58,Chemnitz,12.92,50.83,30
59,Zwickau,12.5,50.72,19
60,Hagen,7.47,51.36,18
61,Bergen,9.96,52.81,18
62,Frankfurt (Oder),14.55,52.35,16
63,Flensburg,9.44,54.78,14
64,Lüneburg,10.41,53.25,10
65,Koblenz,7.6,50.36,6
66,Vechta,8.29,52.73,5
67,Lübeck,10.69,53.87,4
68,Ludwigsburg,9.19,48.9,4
69,Neubrandenburg,13.26,53.56,3
70,Weimar,11.32,50.98,3
71,Cottbus,14.33,51.76,1
72,Vallendar,7.62,50.4,1
73,Schwäbisch Gmünd,9.8,48.8,1
74,Kaiserslautern,7.77,49.44,1
75,Weingarten,9.64,47.81,1
